numpoints,numtrials,average,L^2/n,time per trial,t/n^2*1e8
128,5,7.549402,0.445261489,0.0002,1.220703125
256,5,10.735572,0.450205102,0.0016,2.44140625
512,5,15.012216,0.440169198,0.0054,2.059936523
1024,5,21.186935,0.438365444,0.0244,2.326965332
2048,5,29.633743,0.42878844,0.0666,1.587867737
4096,5,41.77758,0.426114793,0.2684,1.599788666
8192,5,58.948811,0.424189736,0.9422,1.403987408
16384,5,83.106112,0.421546988,4.8964,1.824051142
32768,5,117.42866,0.420821844,15.856,1.476705074
65536,5,166.073587,0.42084406,87.4076,2.035116777
131072,5,234.549675,0.419720078,518.174,3.016169649
262144,5,331.848647,0.420087908,1557.0228,2.265766379
