numpoints,numtrials,average,L^{3/2}/n,time per trial,t/n^2*1e8
128,5,17.494426,0.571662332,0.0002,1.220703125
256,5,27.82667,0.573392346,0.0008,1.220703125
512,5,43.390262,0.558236781,0.0038,1.449584961
1024,5,67.839076,0.545657249,0.0166,1.583099365
2048,5,107.104875,0.541232548,0.0602,1.435279846
4096,5,169.39612,0.538263883,0.2634,1.569986343
8192,5,266.881307,0.53221522,1.0986,1.637041569
16384,5,423.196669,0.531365583,5.4304,2.022981644
32768,5,668.53223,0.527513513,23.3242,2.172235399
65536,5,1058.171661,0.525235726,115.0806,2.679429017
131072,5,1677.670192,0.524263903,555.5484,3.233717289
262144,5,2657.086808,0.522478824,1659.9568,2.415555064
