numpoints,numtrials,average,L^(4/3)/n,time per trial,t/n^2*1e8
128,5,28.361133,0.675701369,0.0002,1.220703125
256,5,46.815735,0.659096739,0.001,1.525878906
512,5,78.695378,0.658661593,0.0042,1.602172852
1024,5,128.701869,0.634570456,0.0176,1.678466797
2048,5,215.71913,0.631715589,0.0748,1.783370972
4096,5,361.226361,0.628076629,0.3316,1.976490021
8192,5,603.396737,0.622415882,1.4612,2.177357674
16384,5,1009.607426,0.618182599,5.9464,2.215206623
32768,5,1688.896824,0.613791529,25.4794,2.372954041
65536,5,2829.720868,0.61072383,128.7914,2.998658456
131072,5,4739.692211,0.607421641,591.496,3.44295986
262144,5,7950.404318,0.605311649,1766.1084,2.570025972
